UB_T3_1	UB_T3_2	UB_T3_3	UB_T8_1	UB_T8_2	UB_T8_3	gene_id	gene
219	100	62	1319	1997	2517	ENSG00000196611	MMP1
5	1	2	11	12	114	ENSG00000077063	CTTNBP2
4	1	3	22	20	11	ENSG00000197142	ACSL5
10	15	10	0	2	0	ENSG00000163362	INAVA
26	7	10	90	74	33	ENSG00000166592	RRAD
7	9	6	43	14	45	ENSG00000183111	ARHGEF37
585	785	477	109	78	191	ENSG00000117650	NEK2
1444	1649	1006	310	356	440	ENSG00000157456	CCNB2
4	17	53	0	0	1	ENSG00000248958	ZSWIM5P3
50	84	62	183	454	240	ENSG00000175084	DES
10	11	4	577	35	8	ENSG00000137959	IFI44L
2	0	2	9	22	35	ENSG00000002745	WNT16
127	153	134	519	697	680	ENSG00000072041	SLC6A15
2	1	6	93	38	7	ENSG00000125730	C3
794	993	587	217	120	276	ENSG00000080986	NDC80
4	1	2	20	4	56	ENSG00000157214	STEAP2
885	1295	819	296	101	379	ENSG00000024526	DEPDC1
0	4	2	10	42	30	ENSG00000233308	OSTN-AS1
42	90	26	156	270	373	ENSG00000163710	PCOLCE2
3	6	2	12	15	40	ENSG00000268350	FAM156A
9	34	7	0	0	0	ENSG00000137726	FXYD6
1	0	1	26	82	2	ENSG00000241644	INMT
10	66	26	4	12	2	ENSG00000167244	IGF2
167	83	88	10	3	16	ENSG00000118513	MYB
4601	5517	3567	984	1354	1336	ENSG00000134057	CCNB1
5	0	2	39	5	28	ENSG00000137473	TTC29
1116	1353	738	254	189	381	ENSG00000168078	PBK
31	48	31	166	164	178	ENSG00000219607	PPP1R3G
11	17	9	60	62	99	ENSG00000170323	FABP4
996	497	245	137	109	84	ENSG00000162595	DIRAS3
232	152	85	26	24	9	ENSG00000007968	E2F2
18	14	11	45	32	152	ENSG00000153132	CLGN
487	335	266	113	27	134	ENSG00000189057	FAM111B
1	0	5	33	9	16	ENSG00000182836	PLCXD3
1578	1777	1160	321	166	432	ENSG00000126787	DLGAP5
1011	736	728	301	99	59	ENSG00000176887	SOX11
567	511	284	75	103	134	ENSG00000100162	CENPM
2303	2502	1825	423	468	503	ENSG00000112984	KIF20A
